,Gene_Symbol
1222,LTBP4
1223,GALNT16
1224,ZSCAN5B
1225,GAS2L1
1226,LRRC25
1227,GAS6
1228,SRP9
1229,KLF6
1230,CCDC159
1231,CHMP3
1232,CREB3L3
1233,NMNAT2
1234,CSNK1A1
1235,CD34
1236,SGK1
1237,RGS9
1238,PNLIPRP1
1239,VAPA
1240,EVA1B
1241,TRDMT1
1242,PDE4B
1243,KLF11
1244,STIL
1245,ABCA8B
1246,HDGF
1247,TNFRSF9
1248,RARRES2
1249,NCAPH
1250,GM5766
1251,GLRB
1252,PLXNB2
1253,1700029F12RIK
1254,AK2
1255,HYI
1256,SPATA5
1257,GP2
1258,NEAT1
1259,RASAL2
1260,XAF1
1261,WDR33
1262,HIST1H1D
1263,OLFR432
1264,C1orf74
1265,SEPP1
1266,OAF
1267,SLC30A10
1268,NPM1
1269,SNX1
1270,VWA1
1271,LY6C1
1272,LRRC3
1273,ASAP3
1274,NOL10
1275,HEY1
1276,2900092C05RIK
1277,IRF1
1278,RYK
1279,POU6F2
1280,LOC102638913
1281,SRSF6
1282,9430020K01RIK
1283,2700089E24RIK
1284,UCK2
1285,ATP5F1
1286,HPS4
1287,LDHA
1288,1700031A10RIK
1289,FGFR1
1290,H1F0
1291,TRAF4
1292,RN45S
1293,MYOD1
1294,EPHX3
1295,HIST1H4D
1296,HSPB3
1297,KRT74
1298,OLFR330
1299,ZFP622
1300,PITX3
1301,SFRP5
1302,MAK
1303,RPL6
1304,FAU
1305,DRD1
1306,CHD7
1307,PDIA5
1308,ICOS
1309,CHIL3
1310,MUC12
1311,PKMYT1
1312,CADM4
1313,GM17821
1314,TRA2B
1315,GRIN3A
1316,NDUFA2
1317,SMC1A
1318,4933438K21RIK
1319,FOXO1
1320,PPIB
1321,AKR1B10
1322,NME5
1323,GRIA1
1324,PMAIP1
1325,KLF16
1326,CDH20
1327,HID1
1328,VMN1R185
1329,GM5475
1330,R74862
1331,SAT1
1332,CBS
1333,TCF25
1334,HSPA5
1335,OOSP3
1336,SMIM13
1337,ADAM2
1338,RPS29
1339,SLC9B2
1340,TOP2A
1341,TENM4
1342,TMEM51
1343,LARS2
1344,ISG20
1345,CHRNA1
1346,A630076J17RIK
1347,SF3B1
1348,MARCH2
1349,FKBP10
1350,TAB2
1351,LAMA2
1352,TNFAIP6
1353,GM38402
1354,GSAP
1355,MLANA
1356,PRRX1
1357,PPP1CC
1358,C1QTNF3
1359,LIF
1360,FGFR4
1361,NRBP2
1362,SLC27A5
1363,ARID5A
1364,LIX1
1365,MSMO1
1366,MAT2A
1367,KLF2
1368,C2CD4B
1369,PTGDS
1370,ACTA2
1371,LY6A
1372,PPP1R14A
1373,CRACR2A
1374,OAZ1
1375,MTDH
1376,BTG1
1377,1700018A04RIK
1378,PIGZ
1379,OLFML3
1380,POLR2L
1381,C1QBP
1382,TSPAN11
1383,UBE2V2
1384,PRELP
1385,MDK
1386,FADS2
1387,CYR61
1388,RPS19
1389,CDON
1390,GM807
1391,HES1
1392,ZFP36L1
1393,DPM3
1394,WEE2
1395,MYBL2
1396,GPR116
1397,PCBP4
1398,CCND3
1399,MYBPC1
1400,EIF1
1401,TNNI2
1402,SLC2A9
1403,KCNE4
1404,RAPSN
1405,ST3GAL5
1406,RAB11B
1407,SQLE
1408,H3F3B
1409,APLP1
1410,UQCRH
1411,LBP
1412,MAGED1
1413,MSH5
1414,S1PR1
1415,2900060B14RIK
1416,TSPAN33
1417,B230323A14RIK
1418,RPL10A
1419,RPL14
1420,GPN3
1421,PEA15A
1422,PAM
1423,SON
1424,CCR1
1425,HIST1H3D
1426,SDPR
1427,CES1H
1428,OC90
1429,OCLN
1430,ABCG3
1431,CLMN
1432,GCNT3
1433,TMEM92
1434,EGR1
1435,PTGFRN
1436,AHNAK
1437,MPL
1438,RPS24
1439,TMEM63C
1440,THY1
1441,CACNB3
1442,APLNR
1443,NECTIN2
1444,WRNIP1
1445,MAN1A2
1446,SMIM3
1447,CHRNA9
1448,ITGA7
1449,B230216N24RIK
1450,TPRKB
1451,SBSN
1452,YBX3
1453,FANCI
1454,ACTA1
1455,CDKN1C
1456,RPS21
1457,GPX1
1458,SLC9A3R2
1459,MEG3
1460,LAPTM4A
1461,AU021092
1462,ERF
1463,REG1A
1464,GABBR2
1465,SOCS3
1466,RPL36A
1467,IER2
1468,HSP90AA1
1469,RAC1
1470,GM12718
1471,SELK
1472,MORF4L1
1473,CCDC81
1474,PABPC1
1475,RGS2
1476,RPS17
1477,EDN3
1478,GPX5
1479,SNRPG
1480,RPS27A
1481,RPS15A
1482,FKBP6
1483,CDK4
1484,ALDH1L1
1485,LOC102636989
1486,CUEDC1
1487,LOC100041057
1488,BDKRB1
1489,DRP2
1490,BRD4
1491,RPS16
1492,CHIL1
1493,MYF5
1494,POFUT2
1495,PURB
1496,FAM178B
1497,DDC
1498,CAR7
1499,GM11571
1500,NAP1L1
1501,FKBP11
1502,TRIL
1503,XRN2
1504,SRSF9
1505,PRDX6
1506,NUP210L
1507,COX6C
1508,SAA1
1509,TXNIP
1510,CD6
1511,USP22
1512,PDK3
1513,RPS13
1514,PPAP2C
1515,GRIP2
1516,BOD1L
1517,RTF1
1518,TPST1
1519,PROKR1
1520,YPEL4
1521,TMEM255B
1522,TAGLN
1523,GM11437
1524,HS6ST2
1525,MELK
1526,TMEM51OS1
1527,OLFR96
1528,BIRC5
1529,MEIOB
1530,MALAT1
1531,ADH1
1532,TPPP3
1533,TNFAIP3
1534,ATP5A1
1535,GCKR
1536,RPL13
1537,KLF4
1538,MAP2
1539,CMTM5
1540,POLR1D
1541,RUNX1
1542,GNA13
1543,LY86
1544,EPC1
1545,PLAUR
1546,OAT
1547,MEOX1
1548,UBE2I
1549,GM6525
1550,PPP1R14B
1551,FNDC8
1552,RNF6
1553,RPL11
1554,RP5-966M1.6
1555,TROAP
1556,ANXA2
1557,CHRND
1558,1600029O15RIK
1559,TM4SF1
1560,2410006H16RIK
1561,BTG2
1562,HIST2H2BF
1563,CDCA7L
1564,GM4926
1565,HTATSF1
1566,SOX9
1567,IGF2
1568,PLA2G5
1569,RNASE1
1570,GDF15
1571,ZC3H12A
1572,CEBPB
1573,PARK7
1574,SBK3
1575,MPP2
1576,MECP2
1577,MIR6358
1578,SLC25A4
1579,FKBP2
1580,ITGA8
1581,TNRC6B
1582,ENKUR
1583,RHD
1584,TMPRSS5
1585,MGP
1586,PRKCDBP
1587,CBX5
1588,PRRC2C
1589,LATS2
1590,TATDN2
1591,ALDOA
1592,CAPN8
1593,MARVELD3
1594,KCNJ6
1595,TCEAL3
1596,MUC4
1597,SYDE1
1598,CD163
1599,MAP4K5
1600,PHGDH
1601,MGARP
1602,TPT1
1603,CAPN6
1604,FAM178A
1605,VWA3B
1606,RACK1
1607,CCL19
1608,A730008H23RIK
1609,PTMA
1610,GLYCAM1
1611,SBNO2
1612,BEAN1
1613,CTTNBP2NL
1614,RPL36AL
1615,SPRY2
1616,CELA3A
1617,CD180
1618,PEG3
1619,SPOP
1620,CHRNB1
1621,RPL38
1622,OLFR262
1623,NCR1
1624,PNLIP
1625,CPA1
1626,HIVEP2
1627,RPS15A-PS6
1628,YBX1
1629,GSTM2
1630,THBS1
1631,GSTP3
1632,TMEM65
1633,ZCWPW1
1634,FOXRED2
1635,CDIP1
1636,RHBDL2
1637,CBX3
1638,2410004N09RIK
1639,GPRC5A
1640,CSRP1
1641,CIRBP
1642,CCL4
1643,EFHD2
1644,ERDR1
1645,DPPA5A
1646,TARDBP
1647,CCDC36
1648,RPS9
1649,RP9
1650,GM12070
1651,CCNI
1652,MYL6
1653,PPP2R1A
1654,PUM1
1655,MIRG
1656,CNOT1
1657,LMNA
1658,RPL15
1659,ZWILCH
1660,GLTSCR2
1661,P3H4
1662,TSPYL1
1663,CREB5
1664,GM1110
1665,AU019990
1666,EPHX1
1667,NTN5
1668,ZSWIM3
1669,AC007401.2
